Date,Close,Open,High,Low,count,zhangdie
2021年5月26日,619.13,607.56,626.17,601.5,28.64M,2.39%
2021年5月25日,604.69,607.31,613.99,595.71,28.01M,-0.29%
2021年5月24日,606.44,581.6,614.48,573.65,34.56M,4.40%
2021年5月21日,580.88,596.11,596.68,580,26.03M,-1.01%
2021年5月20日,586.78,575,588.85,571.07,30.82M,4.14%
2021年5月19日,563.46,552.55,566.21,546.98,39.58M,-2.49%
2021年5月18日,577.87,568,596.25,563.38,36.83M,0.18%
2021年5月17日,576.83,575.55,589.73,561.2,32.39M,-2.19%
2021年5月14日,589.74,583.41,592.87,570.46,33.37M,3.16%
2021年5月13日,571.69,601.54,606.46,559.65,44.18M,-3.09%
2021年5月12日,589.89,602.49,620.41,586.76,33.82M,-4.42%
2021年5月11日,617.2,599.24,627.1,595.6,46.50M,-1.88%
2021年5月10日,629.04,664.9,665.05,627.61,31.39M,-6.44%
2021年5月7日,672.37,665.8,690,660.22,23.47M,1.33%
2021年5月6日,663.54,680.76,681.02,650,27.78M,-1.10%
2021年5月5日,670.94,681.06,685.3,667.34,21.90M,-0.39%
2021年5月4日,673.6,678.94,683.45,657.7,29.74M,-1.65%
2021年5月3日,684.9,703.8,706,680.5,27.04M,-3.46%
2021年4月30日,709.44,667.59,715.47,666.14,40.76M,4.79%
2021年4月29日,677,699.51,702.25,668.5,28.85M,-2.51%
2021年4月28日,694.4,696.41,708.5,693.6,22.27M,-1.47%
2021年4月27日,704.74,717.96,724,703.35,29.44M,-4.53%
2021年4月26日,738.2,741,749.3,732.61,31.04M,1.21%
2021年4月23日,729.4,719.8,737.36,715.46,28.41M,1.35%
2021年4月22日,719.69,741.5,753.77,718.04,35.59M,-3.28%
2021年4月21日,744.12,704.77,744.84,698,31.22M,3.50%
2021年4月20日,718.99,717.42,737.25,710.68,35.61M,0.61%
2021年4月19日,714.63,719.6,725.4,691.8,39.69M,-3.40%
2021年4月16日,739.78,728.65,749.41,724.6,27.98M,0.13%
2021年4月15日,738.85,743.1,743.69,721.31,27.85M,0.90%
2021年4月14日,732.23,770.7,780.79,728.03,49.02M,-3.95%
2021年4月13日,762.32,712.7,763,710.66,44.65M,8.60%
2021年4月12日,701.98,685.7,704.8,682.09,29.14M,3.69%
2021年4月9日,677.02,677.77,680.97,669.43,21.44M,-0.99%
2021年4月8日,683.8,677.38,689.55,671.64,23.92M,1.91%
2021年4月7日,670.97,687,691.38,667.84,26.31M,-2.99%
2021年4月6日,691.62,690.3,696.55,681.37,28.27M,0.08%
2021年4月5日,691.05,707.71,708.16,684.7,41.84M,4.43%
2021年4月1日,661.75,688.37,692.42,659.42,35.30M,-0.93%
2021年3月31日,667.93,646.62,672,641.11,33.34M,5.08%
2021年3月30日,635.62,601.75,637.66,591.01,39.43M,3.98%
2021年3月29日,611.29,615.64,616.48,596.02,28.64M,-1.20%
2021年3月26日,618.71,641.87,643.82,599.89,33.85M,-3.39%
2021年3月25日,640.39,613,645.5,609.5,39.22M,1.61%
2021年3月24日,630.27,667.91,668.02,630.11,33.80M,-4.82%
2021年3月23日,662.16,675.77,677.8,657.51,30.49M,-1.17%
2021年3月22日,670,684.59,699.62,668.75,39.51M,2.31%
2021年3月19日,654.87,646.6,657.23,624.62,42.89M,0.26%
2021年3月18日,653.16,684.29,689.23,652,33.37M,-6.93%
2021年3月17日,701.81,656.87,703.73,651.01,40.37M,3.68%
2021年3月16日,676.88,703.35,707.92,671,32.20M,-4.39%
2021年3月15日,707.94,694.09,713.18,684.04,29.42M,2.05%
2021年3月12日,693.73,670,694.88,666.14,33.58M,-0.84%
2021年3月11日,699.6,699.4,702.5,677.18,36.25M,4.72%
2021年3月10日,668.06,700.3,717.85,655.06,60.61M,-0.82%
2021年3月9日,673.58,608.18,678.09,595.21,67.52M,19.64%
2021年3月8日,563,600.55,620.12,558.79,51.79M,-5.84%
2021年3月5日,597.95,626.06,627.84,539.49,89.40M,-3.78%
2021年3月4日,621.44,655.8,668.45,600,65.92M,-4.86%
2021年3月3日,653.2,687.99,700.7,651.71,30.21M,-4.84%
2021年3月2日,686.44,718.28,721.11,685,23.73M,-4.45%
2021年3月1日,718.43,690.11,719,685.05,27.14M,6.36%
2021年2月26日,675.5,700,706.7,659.51,41.09M,-0.99%
2021年2月25日,682.22,726.15,737.21,670.58,39.02M,-8.06%
2021年2月24日,742.02,711.85,745,694.17,36.77M,6.18%
2021年2月23日,698.84,662.13,713.61,619,66.61M,-2.19%
2021年2月22日,714.5,762.64,768.5,710.2,37.27M,-8.55%
2021年2月19日,781.3,795,796.79,777.37,18.96M,-0.77%
2021年2月18日,787.38,780.9,794.69,776.27,17.96M,-1.35%
2021年2月17日,798.15,779.09,799.84,762.01,26.08M,0.24%
2021年2月16日,796.22,818,821,792.44,19.80M,-2.44%
2021年2月12日,816.12,801.26,817.33,785.33,23.77M,0.55%
2021年2月11日,811.66,812.44,829.88,801.73,21.62M,0.85%
2021年2月10日,804.82,843.63,844.82,800.02,36.22M,-5.26%
2021年2月9日,849.46,855.12,859.8,841.75,15.16M,-1.62%
2021年2月8日,863.42,869.67,877.77,854.75,20.16M,1.31%
2021年2月5日,852.23,845,864.77,838.97,18.57M,0.26%
2021年2月4日,849.99,855,856.5,833.42,15.81M,-0.55%
2021年2月3日,854.69,877.02,878.08,853.06,18.34M,-2.07%
2021年2月2日,872.79,844.68,880.5,842.2,24.35M,3.93%
2021年2月1日,839.81,814.29,842,795.56,25.39M,5.83%
2021年1月29日,793.53,830,842.41,780.1,34.99M,-5.02%
2021年1月28日,835.43,820,848,801,26.38M,-3.32%
2021年1月27日,864.16,870.35,891.5,858.66,27.33M,-2.14%
2021年1月26日,883.09,891.38,895.9,871.6,23.13M,0.26%
2021年1月25日,880.8,855,900.4,838.82,41.17M,4.03%
2021年1月22日,846.64,834.31,848,828.62,20.07M,0.20%
2021年1月21日,844.99,855,855.72,841.42,20.60M,-0.64%
2021年1月20日,850.45,858.74,859.5,837.28,25.67M,0.70%
2021年1月19日,844.55,837.8,850,833,25.37M,2.23%
2021年1月15日,826.16,852,859.9,819.1,38.78M,-2.23%
2021年1月14日,845,843.39,863,838.75,31.27M,-1.10%
2021年1月13日,854.41,852.76,860.47,832,33.31M,0.59%
2021年1月12日,849.44,831,868,827.34,46.27M,4.72%
2021年1月11日,811.19,849.4,854.43,803.62,59.55M,-7.82%
2021年1月8日,880.02,856,884.49,838.39,75.06M,7.84%
2021年1月7日,816.04,777.63,816.99,775.2,51.50M,7.94%
2021年1月6日,755.98,758.49,774,749.1,44.70M,2.84%
2021年1月5日,735.11,723.66,740.84,719.2,32.25M,0.73%
2021年1月4日,729.77,719.46,744.49,717.19,48.64M,3.42%
2020年12月31日,705.67,699.99,718.72,691.12,49.65M,1.57%
2020年12月30日,694.78,672,696.6,668.36,42.85M,4.32%
2020年12月29日,665.99,661,669.9,655,22.91M,0.35%
2020年12月28日,663.69,674.51,681.4,660.8,32.28M,0.29%
2020年12月24日,661.77,642.99,666.09,641,22.87M,2.44%
2020年12月23日,645.98,632.2,651.5,622.57,33.17M,0.88%
2020年12月22日,640.34,648,649.88,614.23,51.86M,-1.46%
2020年12月21日,649.86,666.24,668.5,646.07,58.05M,-6.49%
2020年12月18日,695,668.9,695,628.54,222.13M,5.96%
2020年12月17日,655.9,628.19,658.82,619.5,56.27M,5.32%
2020年12月16日,622.77,628.23,632.5,605,42.10M,-1.65%
2020年12月15日,633.25,643.28,646.9,623.8,45.22M,-1.03%
2020年12月14日,639.83,619,642.75,610.2,52.04M,4.89%
2020年12月11日,609.99,615.01,624,596.8,46.47M,-2.72%
2020年12月10日,627.07,574.37,627.75,566.34,67.08M,3.74%
2020年12月9日,604.48,653.69,654.32,588,71.29M,-6.99%
2020年12月8日,649.88,625.5,651.28,618.5,64.27M,1.27%
2020年12月7日,641.76,604.92,648.79,603.05,56.31M,7.13%
2020年12月4日,599.04,591.01,599.04,585.5,29.40M,0.95%
2020年12月3日,593.38,590.02,598.97,582.43,42.55M,4.32%
2020年12月2日,568.82,556.44,571.54,541.21,47.78M,-2.73%
2020年12月1日,584.76,597.59,597.85,572.05,40.38M,3.02%
2020年11月30日,567.6,602.21,607.8,554.51,63.00M,-3.10%
2020年11月27日,585.76,581.16,598.78,578.45,37.56M,2.05%
2020年11月25日,574,550.06,574,545.37,48.93M,3.35%
2020年11月24日,555.38,540.4,559.99,526.2,53.65M,6.43%
2020年11月23日,521.85,503.5,526,501.79,50.26M,6.58%
2020年11月20日,489.61,497.99,502.5,489.06,32.91M,-1.93%
2020年11月19日,499.27,492,508.61,487.57,62.48M,2.60%
2020年11月18日,486.64,448.35,496,443.5,78.04M,10.20%
2020年11月17日,441.61,460.17,462,433.01,61.19M,8.21%
2020年11月16日,408.09,408.93,412.45,404.09,26.84M,-0.10%
2020年11月13日,408.5,410.85,412.53,401.66,19.83M,-0.79%
2020年11月12日,411.76,415.05,423,409.52,19.94M,-1.29%
2020年11月11日,417.13,416.45,418.69,410.58,17.36M,1.65%
2020年11月10日,410.36,420.09,420.09,396.03,30.28M,-2.59%
2020年11月9日,421.26,439.5,452.5,421,34.83M,-2.02%
2020年11月6日,429.95,436.1,436.57,424.28,21.71M,-1.86%
2020年11月5日,438.09,428.3,440,424,28.41M,4.06%
2020年11月4日,420.98,430.62,435.4,417.1,32.14M,-0.69%
2020年11月3日,423.9,409.73,427.77,406.69,34.35M,5.84%
2020年11月2日,400.51,394,406.98,392.3,29.02M,3.21%
2020年10月30日,388.04,406.9,407.59,379.11,42.59M,-5.55%
2020年10月29日,410.83,409.96,418.06,406.46,22.66M,1.18%
2020年10月28日,406.02,416.48,418.6,406,25.45M,-4.39%
2020年10月27日,424.68,423.76,430.5,420.1,22.69M,1.05%
2020年10月26日,420.28,411.63,425.76,410,28.24M,-0.08%
2020年10月23日,420.63,421.84,422.89,407.38,33.72M,-1.21%
2020年10月22日,425.79,441.92,445.23,424.51,39.99M,0.75%
2020年10月21日,422.64,422.7,432.95,421.25,32.37M,0.17%
2020年10月20日,421.94,431.75,431.75,419.05,31.66M,-2.06%
2020年10月19日,430.83,446.24,447,428.87,36.29M,-2.01%
2020年10月16日,439.67,454.44,455.95,438.85,32.78M,-2.05%
2020年10月15日,448.88,450.31,456.57,442.5,35.67M,-2.69%
2020年10月14日,461.3,449.78,465.9,447.35,48.05M,3.28%
2020年10月13日,446.65,443.35,448.89,436.6,34.46M,0.98%
2020年10月12日,442.3,442,448.74,438.58,38.79M,1.91%
2020年10月9日,434,430.13,434.59,426.46,28.93M,1.90%
2020年10月8日,425.92,438.44,439,425.3,40.42M,0.15%
2020年10月7日,425.3,419.87,429.9,413.85,43.13M,2.73%
2020年10月6日,413.98,423.79,428.78,406.05,49.15M,-2.75%
2020年10月5日,425.68,423.35,433.64,419.33,44.72M,2.55%
