Date,close,open,high,low,count,zhangdie
2021年2月2日,134.99,135.73,136.31,134.61,83.31M,0.63%
2021年2月1日,134.14,133.75,135.38,130.93,106.24M,1.65%
2021年1月29日,131.96,135.83,136.74,130.21,177.52M,-3.74%
2021年1月28日,137.09,139.52,141.99,136.7,142.62M,-3.50%
2021年1月27日,142.06,143.43,144.3,140.41,140.84M,-0.77%
2021年1月26日,143.16,143.6,144.3,141.37,98.39M,0.17%
2021年1月25日,142.92,143.07,145.09,136.54,157.61M,2.77%
2021年1月22日,139.07,136.28,139.85,135.02,114.46M,1.61%
2021年1月21日,136.87,133.8,139.67,133.59,120.53M,3.67%
2021年1月20日,132.03,128.66,132.49,128.55,104.32M,3.29%
2021年1月19日,127.83,127.78,128.71,126.94,90.76M,0.54%
2021年1月15日,127.14,128.78,130.22,127,111.60M,-1.37%
2021年1月14日,128.91,130.8,131,128.76,90.22M,-1.51%
2021年1月13日,130.89,128.76,131.45,128.49,88.64M,1.62%
2021年1月12日,128.8,128.5,129.69,126.86,91.95M,-0.14%
2021年1月11日,128.98,129.19,130.17,128.5,100.62M,-2.32%
2021年1月8日,132.05,132.43,132.63,130.23,105.16M,0.86%
2021年1月7日,130.92,128.36,131.63,127.86,109.58M,3.41%
2021年1月6日,126.6,127.72,131.05,126.38,155.09M,-3.37%
2021年1月5日,131.01,128.89,131.74,128.43,97.67M,1.24%
2021年1月4日,129.41,133.52,133.61,126.76,143.30M,-2.47%
2020年12月31日,132.69,134.08,134.74,131.72,99.12M,-0.77%
2020年12月30日,133.72,135.58,135.99,133.4,96.45M,-0.85%
2020年12月29日,134.87,138.05,138.79,134.34,121.05M,-1.33%
